Meter ID,Service Address,Occupant Name,Account Number,Meter Size,Install Date,Manufacturer,Model,Serial,Meter Type,Route,Notes
M-1183,"1381 Highway 287, Wiley, CO 81092",Resident 1183,A-20183,"5/8""",2023-03-12,Master Meter,Model-627,SN102379,positive displacement,R4,
M-1184,"1388 Maple Ave, Wiley, CO 81092",Resident 1184,A-20184,"3/4""",2023-06-10,Badger,Model-314,SN102392,positive displacement,R5,
M-1185,"1395 Oak St, Wiley, CO 81092",Resident 1185,A-20185,"3/4""",2013-03-23,Sensus,Model-656,SN102405,positive displacement,R6,
M-1186,"1402 Elm St, Wiley, CO 81092",Resident 1186,A-20186,"3/4""",2013-04-27,Neptune,Model-164,SN102418,positive displacement,R1,
M-1187,"1409 3rd Ave, Wiley, CO 81092",Resident 1187,A-20187,"3/4""",2014-10-05,Master Meter,Model-760,SN102431,positive displacement,R2,
M-1188,"1416 5th St, Wiley, CO 81092",Resident 1188,A-20188,"1""",2012-10-03,Badger,Model-160,SN102444,positive displacement,R3,
M-1189,"1423 Ranch Rd, Wiley, CO 81092",Resident 1189,A-20189,"5/8""",2018-02-17,Sensus,Model-350,SN102457,positive displacement,R4,
M-1190,"1430 Irrigation Ln, Wiley, CO 81092",Resident 1190,A-20190,"1""",2018-08-06,Neptune,Model-308,SN102470,positive displacement,R5,
M-1191,"1437 North Frontage, Wiley, CO 81092",New Occupant 1191,A-20191,"1.5""",2023-06-01,Master Meter,Model-645,SN102483,positive displacement,R6,
M-1192,"1444 South Loop, Wiley, CO 81092",Resident 1192,A-20192,"1.5""",2014-07-17,Badger,Model-823,SN102496,positive displacement,R1,
M-1193,"1451 Pioneer Rd, Wiley, CO 81092",Resident 1193,A-20193,"1.5""",2013-03-26,Sensus,Model-285,SN102509,positive displacement,R2,
M-1194,"1458 Cottonwood Dr, Wiley, CO 81092",Resident 1194,A-20194,"1.5""",2017-08-11,Neptune,Model-366,SN102522,positive displacement,R3,
M-1195,"1465 Sand Creek Rd, Wiley, CO 81092",Resident 1195,A-20195,"1""",2023-09-21,Master Meter,Model-372,SN102535,positive displacement,R4,
M-1196,"1472 Prairie View, Wiley, CO 81092",Resident 1196,A-20196,"3/4""",2019-07-05,Badger,Model-684,SN102548,positive displacement,R5,
M-1197,"1479 School House Rd, Wiley, CO 81092",Resident 1197,A-20197,"1""",2012-03-20,Sensus,Model-192,SN102561,positive displacement,R6,
M-1198,"1486 Cemetery Rd, Wiley, CO 81092",Resident 1198,A-20198,"1.5""",2020-07-22,Neptune,Model-667,SN102574,positive displacement,R1,
M-1199,"1493 Grain Elevator Rd, Wiley, CO 81092",Resident 1199,A-20199,"5/8""",2015-07-02,Master Meter,Model-662,SN102587,positive displacement,R2,
M-1200,"1500 Main St, Wiley, CO 81092",Resident 1200,A-20200,"1.5""",2014-02-21,Badger,Model-580,SN102600,positive displacement,R3,
M-1201,"1507 County Rd 10, Wiley, CO 81092",Resident 1201,A-20201,"5/8""",2014-08-22,Sensus,Model-320,SN102613,positive displacement,R4,
M-1202,"1514 County Rd 14, Wiley, CO 81092",Resident 1202,A-20202,"1.5""",2015-12-24,Neptune,Model-322,SN102626,positive displacement,R5,
M-1203,"1521 Highway 287, Wiley, CO 81092",Resident 1203,A-20203,"3/4""",2021-01-11,Master Meter,Model-286,SN102639,positive displacement,R6,
M-1204,"1528 Maple Ave, Wiley, CO 81092",Resident 1204,A-20204,"3/4""",2014-10-19,Badger,Model-729,SN102652,positive displacement,R1,
M-1205,"1535 Oak St, Wiley, CO 81092",Resident 1205,A-20205,"1.5""",2015-03-04,Sensus,Model-850,SN102665,positive displacement,R2,
M-1206,"1542 Elm St, Wiley, CO 81092",Resident 1206,A-20206,"1""",2018-11-28,Neptune,Model-699,SN102678,positive displacement,R3,
M-1207,"1549 3rd Ave, Wiley, CO 81092",Resident 1207,A-20207,"1""",2013-04-18,Master Meter,Model-663,SN102691,positive displacement,R4,
M-1208,"1556 5th St, Wiley, CO 81092",Resident 1208,A-20208,"3/4""",2014-03-11,Badger,Model-768,SN102704,positive displacement,R5,
M-1209,"1563 Ranch Rd, Wiley, CO 81092",Resident 1209,A-20209,"3/4""",2017-10-28,Sensus,Model-653,SN102717,positive displacement,R6,
M-1210,"1570 Irrigation Ln, Wiley, CO 81092",Resident 1210,A-20210,"1""",2015-09-10,Neptune,Model-373,SN102730,positive displacement,R1,
M-1211,"1577 North Frontage, Wiley, CO 81092",Resident 1211,A-20211,"5/8""",2018-08-24,Master Meter,Model-760,SN102743,positive displacement,R2,
M-1212,"1584 South Loop, Wiley, CO 81092",Resident 1212,A-20212,"1.5""",2019-04-06,Badger,Model-502,SN102756,positive displacement,R3,
M-1213,"1591 Pioneer Rd, Wiley, CO 81092",Resident 1213,A-20213,"3/4""",2016-01-19,Sensus,Model-440,SN102769,positive displacement,R4,
M-1214,"1598 Cottonwood Dr, Wiley, CO 81092",Resident 1214,A-20214,"1""",2016-10-26,Neptune,Model-893,SN102782,positive displacement,R5,
M-1215,"1605 Sand Creek Rd, Wiley, CO 81092",Resident 1215,A-20215,"5/8""",2019-03-15,Master Meter,Model-718,SN102795,positive displacement,R6,
M-1216,"1612 Prairie View, Wiley, CO 81092",Resident 1216,A-20216,"1.5""",2021-01-06,Badger,Model-684,SN102808,positive displacement,R1,
M-1217,"1619 School House Rd, Wiley, CO 81092",Resident 1217,A-20217,"1.5""",2014-02-06,Sensus,Model-156,SN102821,positive displacement,R2,
M-1218,"1626 Cemetery Rd, Wiley, CO 81092",Resident 1218,A-20218,"3/4""",2017-11-20,Neptune,Model-579,SN102834,positive displacement,R3,
M-1219,"1633 Grain Elevator Rd, Wiley, CO 81092",Resident 1219,A-20219,"1.5""",2020-12-04,Master Meter,Model-319,SN102847,positive displacement,R4,
M-1220,"1640 Main St, Wiley, CO 81092",Resident 1220,A-20220,"1""",2019-03-19,Badger,Model-671,SN102860,positive displacement,R5,
M-1221,"1647 County Rd 10, Wiley, CO 81092",Resident 1221,A-20221,"3/4""",2020-03-05,Sensus,Model-128,SN102873,positive displacement,R6,
M-1222,"1654 County Rd 14, Wiley, CO 81092",Resident 1222,A-20222,"5/8""",2022-03-26,Neptune,Model-473,SN102886,positive displacement,R1,
M-1223,"1661 Highway 287, Wiley, CO 81092",Resident 1223,A-20223,"5/8""",2018-09-07,Master Meter,Model-277,SN102899,positive displacement,R2,
M-1224,"1668 Maple Ave, Wiley, CO 81092",Resident 1224,A-20224,"5/8""",2012-05-25,Badger,Model-667,SN102912,positive displacement,R3,
M-1225,"1675 Oak St, Wiley, CO 81092",Resident 1225,A-20225,"1.5""",2019-09-17,Sensus,Model-618,SN102925,positive displacement,R4,
M-1226,"1682 Elm St, Wiley, CO 81092",Resident 1226,A-20226,"1.5""",2021-06-22,Neptune,Model-315,SN102938,positive displacement,R5,
M-1227,"1689 3rd Ave, Wiley, CO 81092",Resident 1227,A-20227,"1""",2023-11-17,Master Meter,Model-465,SN102951,positive displacement,R6,
M-1228,"1696 5th St, Wiley, CO 81092",Resident 1228,A-20228,"3/4""",2014-11-18,Badger,Model-503,SN102964,positive displacement,R1,
M-1229,"1703 Ranch Rd, Wiley, CO 81092",Resident 1229,A-20229,"5/8""",2012-04-01,Sensus,Model-384,SN102977,positive displacement,R2,
M-1230,"1710 Irrigation Ln, Wiley, CO 81092",Resident 1230,A-20230,"3/4""",2016-07-21,Neptune,Model-183,SN102990,positive displacement,R3,
M-1231,"1717 North Frontage, Wiley, CO 81092",Resident 1231,A-20231,"1""",2021-02-15,Master Meter,Model-168,SN103003,positive displacement,R4,
M-1232,"1724 South Loop, Wiley, CO 81092",Resident 1232,A-20232,"3/4""",2017-04-28,Badger,Model-845,SN103016,positive displacement,R5,
M-1233,"1731 Pioneer Rd, Wiley, CO 81092",Resident 1233,A-20233,"5/8""",2021-01-25,Sensus,Model-252,SN103029,positive displacement,R6,
M-1234,"1738 Cottonwood Dr, Wiley, CO 81092",Resident 1234,A-20234,"3/4""",2022-12-19,Neptune,Model-867,SN103042,positive displacement,R1,
M-1235,"1745 Sand Creek Rd, Wiley, CO 81092",Resident 1235,A-20235,"5/8""",2017-02-10,Master Meter,Model-303,SN103055,positive displacement,R2,
M-1236,"1752 Prairie View, Wiley, CO 81092",Resident 1236,A-20236,"1""",2019-11-28,Badger,Model-852,SN103068,positive displacement,R3,
M-1237,"1759 School House Rd, Wiley, CO 81092",Resident 1237,A-20237,"3/4""",2020-01-20,Sensus,Model-301,SN103081,positive displacement,R4,
M-1238,"1766 Cemetery Rd, Wiley, CO 81092",Resident 1238,A-20238,"1.5""",2012-08-03,Neptune,Model-315,SN103094,positive displacement,R5,
M-1239,"1773 Grain Elevator Rd, Wiley, CO 81092",Resident 1239,A-20239,"1.5""",2022-02-20,Master Meter,Model-217,SN103107,positive displacement,R6,
M-1240,"1780 Main St, Wiley, CO 81092",Resident 1240,A-20240,"1.5""",2014-01-21,Badger,Model-254,SN103120,positive displacement,R1,
M-1241,"1787 County Rd 10, Wiley, CO 81092",Resident 1241,A-20241,"3/4""",2023-02-07,Sensus,Model-261,SN103133,positive displacement,R2,
M-1242,"1794 County Rd 14, Wiley, CO 81092",Resident 1242,A-20242,"1.5""",2013-07-15,Neptune,Model-870,SN103146,positive displacement,R3,
M-1243,"1801 Highway 287, Wiley, CO 81092",Resident 1243,A-20243,"3/4""",2022-01-04,Master Meter,Model-720,SN103159,positive displacement,R4,
M-1244,"1808 Maple Ave, Wiley, CO 81092",Resident 1244,A-20244,"5/8""",2023-02-04,Badger,Model-491,SN103172,positive displacement,R5,Livestock
M-1245,"1815 Oak St, Wiley, CO 81092",Resident 1245,A-20245,"5/8""",2018-03-06,Sensus,Model-142,SN103185,positive displacement,R6,
M-1246,"1822 Elm St, Wiley, CO 81092",Resident 1246,A-20246,"5/8""",2013-08-05,Neptune,Model-840,SN103198,positive displacement,R1,
M-1247,"1829 3rd Ave, Wiley, CO 81092",Resident 1247,A-20247,"1.5""",2017-04-07,Master Meter,Model-737,SN103211,positive displacement,R2,
M-1248,"1836 5th St, Wiley, CO 81092",Resident 1248,A-20248,"3/4""",2023-01-10,Badger,Model-685,SN103224,positive displacement,R3,
M-1249,"1843 Ranch Rd, Wiley, CO 81092",Resident 1249,A-20249,"1.5""",2015-07-11,Sensus,Model-313,SN103237,positive displacement,R4,
M-1250,"1850 Irrigation Ln, Wiley, CO 81092",Resident 1250,A-20250,"5/8""",2020-11-06,Neptune,Model-566,SN103250,positive displacement,R5,
M-1251,"1857 North Frontage, Wiley, CO 81092",Resident 1251,A-20251,"1""",2022-09-04,Master Meter,Model-253,SN103263,positive displacement,R6,
M-1252,"1864 South Loop, Wiley, CO 81092",Resident 1252,A-20252,"3/4""",2016-02-03,Badger,Model-391,SN103276,positive displacement,R1,
M-1253,"1871 Pioneer Rd, Wiley, CO 81092",Resident 1253,A-20253,"1.5""",2012-11-17,Sensus,Model-243,SN103289,positive displacement,R2,
M-1254,"1878 Cottonwood Dr, Wiley, CO 81092",Resident 1254,A-20254,"5/8""",2017-10-22,Neptune,Model-434,SN103302,positive displacement,R3,
M-1255,"1885 Sand Creek Rd, Wiley, CO 81092",Resident 1255,A-20255,"3/4""",2014-10-10,Master Meter,Model-484,SN103315,positive displacement,R4,
M-1256,"1892 Prairie View, Wiley, CO 81092",Resident 1256,A-20256,"5/8""",2014-10-07,Badger,Model-817,SN103328,positive displacement,R5,
M-1257,"1899 School House Rd, Wiley, CO 81092",Resident 1257,A-20257,"1""",2017-12-13,Sensus,Model-167,SN103341,positive displacement,R6,
M-1258,"1906 Cemetery Rd, Wiley, CO 81092",Resident 1258,A-20258,"5/8""",2023-04-23,Neptune,Model-782,SN103354,positive displacement,R1,
M-1259,"1913 Grain Elevator Rd, Wiley, CO 81092",Resident 1259,A-20259,"1""",2021-03-25,Master Meter,Model-811,SN103367,positive displacement,R2,
M-1260,"1920 Main St, Wiley, CO 81092",Resident 1260,A-20260,"1.5""",2021-01-25,Badger,Model-199,SN103380,positive displacement,R3,
M-1261,"1927 County Rd 10, Wiley, CO 81092",Resident 1261,A-20261,"1.5""",2015-02-05,Sensus,Model-382,SN103393,positive displacement,R4,
M-1262,"1934 County Rd 14, Wiley, CO 81092",Resident 1262,A-20262,"1.5""",2015-06-18,Neptune,Model-434,SN103406,positive displacement,R5,
M-1263,"1941 Highway 287, Wiley, CO 81092",Resident 1263,A-20263,"1""",2020-07-10,Master Meter,Model-880,SN103419,positive displacement,R6,
M-1264,"1948 Maple Ave, Wiley, CO 81092",Resident 1264,A-20264,"3/4""",2014-01-09,Badger,Model-176,SN103432,positive displacement,R1,
M-1265,"1955 Oak St, Wiley, CO 81092",Resident 1265,A-20265,"3/4""",2023-01-05,Sensus,Model-593,SN103445,positive displacement,R2,
M-1266,"1962 Elm St, Wiley, CO 81092",Resident 1266,A-20266,"1.5""",2012-02-12,Neptune,Model-728,SN103458,positive displacement,R3,
M-1267,"1969 3rd Ave, Wiley, CO 81092",Resident 1267,A-20267,"1.5""",2014-04-18,Master Meter,Model-606,SN103471,positive displacement,R4,
M-1268,"1976 5th St, Wiley, CO 81092",Resident 1268,A-20268,"5/8""",2016-03-20,Badger,Model-734,SN103484,positive displacement,R5,
M-1269,"1983 Ranch Rd, Wiley, CO 81092",Resident 1269,A-20269,"1.5""",2012-12-24,Sensus,Model-187,SN103497,positive displacement,R6,
M-1270,"1990 Irrigation Ln, Wiley, CO 81092",Resident 1270,A-20270,"1.5""",2018-10-01,Neptune,Model-522,SN103510,positive displacement,R1,
M-1271,"1997 North Frontage, Wiley, CO 81092",Resident 1271,A-20271,"3/4""",2015-03-28,Master Meter,Model-388,SN103523,positive displacement,R2,
M-1272,"2004 South Loop, Wiley, CO 81092",Resident 1272,A-20272,"5/8""",2020-06-11,Badger,Model-367,SN103536,positive displacement,R3,
M-1273,"2011 Pioneer Rd, Wiley, CO 81092",Resident 1273,A-20273,"5/8""",2014-04-23,Sensus,Model-827,SN103549,positive displacement,R4,
M-1274,"2018 Cottonwood Dr, Wiley, CO 81092",Resident 1274,A-20274,"5/8""",2016-04-02,Neptune,Model-227,SN103562,positive displacement,R5,
M-1275,"2025 Sand Creek Rd, Wiley, CO 81092",Resident 1275,A-20275,"1""",2012-07-16,Master Meter,Model-677,SN103575,positive displacement,R6,
M-1276,"2032 Prairie View, Wiley, CO 81092",Resident 1276,A-20276,"1.5""",2022-06-14,Badger,Model-415,SN103588,positive displacement,R1,
M-1277,"2039 School House Rd, Wiley, CO 81092",Resident 1277,A-20277,"5/8""",2021-06-15,Sensus,Model-704,SN103601,positive displacement,R2,
M-1278,"2046 Cemetery Rd, Wiley, CO 81092",Resident 1278,A-20278,"1""",2022-06-10,Neptune,Model-535,SN103614,positive displacement,R3,
M-1279,"2053 Grain Elevator Rd, Wiley, CO 81092",Resident 1279,A-20279,"3/4""",2014-05-16,Master Meter,Model-208,SN103627,positive displacement,R4,
M-1280,"2060 Main St, Wiley, CO 81092",Resident 1280,A-20280,"1""",2014-08-14,Badger,Model-102,SN103640,positive displacement,R5,
M-1281,"2067 County Rd 10, Wiley, CO 81092",Resident 1281,A-20281,"5/8""",2013-09-02,Sensus,Model-887,SN103653,positive displacement,R6,
M-1282,"2074 County Rd 14, Wiley, CO 81092",Resident 1282,A-20282,"5/8""",2013-01-07,Neptune,Model-127,SN103666,positive displacement,R1,
M-1283,"2081 Highway 287, Wiley, CO 81092",Resident 1283,A-20283,"1.5""",2023-09-08,Master Meter,Model-202,SN103679,positive displacement,R2,
M-1284,"2088 Maple Ave, Wiley, CO 81092",Resident 1284,A-20284,"1.5""",2019-05-25,Badger,Model-192,SN103692,positive displacement,R3,
M-1285,"2095 Oak St, Wiley, CO 81092",Resident 1285,A-20285,"3/4""",2019-07-17,Sensus,Model-143,SN103705,positive displacement,R4,
M-1286,"2102 Elm St, Wiley, CO 81092",Resident 1286,A-20286,"5/8""",2020-09-04,Neptune,Model-844,SN103718,positive displacement,R5,
M-1287,"2109 3rd Ave, Wiley, CO 81092",Resident 1287,A-20287,"1""",2022-08-04,Master Meter,Model-251,SN103731,positive displacement,R6,
M-1288,"2116 5th St, Wiley, CO 81092",Resident 1288,A-20288,"5/8""",2021-12-04,Badger,Model-450,SN103744,positive displacement,R1,
M-1289,"2123 Ranch Rd, Wiley, CO 81092",Resident 1289,A-20289,"5/8""",2023-08-03,Sensus,Model-300,SN103757,positive displacement,R2,
M-1290,"2130 Irrigation Ln, Wiley, CO 81092",Resident 1290,A-20290,"5/8""",2020-07-15,Neptune,Model-204,SN103770,positive displacement,R3,
M-1291,"2137 North Frontage, Wiley, CO 81092",Resident 1291,A-20291,"5/8""",2015-08-23,Master Meter,Model-334,SN103783,positive displacement,R4,
M-1292,"2144 South Loop, Wiley, CO 81092",Resident 1292,A-20292,"5/8""",2017-01-27,Badger,Model-394,SN103796,positive displacement,R5,
M-1293,"2151 Pioneer Rd, Wiley, CO 81092",Resident 1293,A-20293,"1""",2017-08-10,Sensus,Model-304,SN103809,positive displacement,R6,
M-1294,"2158 Cottonwood Dr, Wiley, CO 81092",Resident 1294,A-20294,"3/4""",2018-02-23,Neptune,Model-301,SN103822,positive displacement,R1,
M-1295,"2165 Sand Creek Rd, Wiley, CO 81092",Resident 1295,A-20295,"5/8""",2012-10-14,Master Meter,Model-286,SN103835,positive displacement,R2,
M-1296,"2172 Prairie View, Wiley, CO 81092",Resident 1296,A-20296,"1""",2017-08-14,Badger,Model-820,SN103848,positive displacement,R3,
M-1297,"2179 School House Rd, Wiley, CO 81092",Resident 1297,A-20297,"1""",2018-08-01,Sensus,Model-309,SN103861,positive displacement,R4,
M-1298,"2186 Cemetery Rd, Wiley, CO 81092",Resident 1298,A-20298,"5/8""",2013-06-07,Neptune,Model-787,SN103874,positive displacement,R5,
M-1299,"2193 Grain Elevator Rd, Wiley, CO 81092",Resident 1299,A-20299,"1.5""",2015-03-27,Master Meter,Model-550,SN103887,positive displacement,R6,
M-1300,"2200 Main St, Wiley, CO 81092",Resident 1300,A-20300,"1.5""",2016-07-14,Badger,Model-252,SN103900,positive displacement,R1,
